datetime,Open,High,Low,Close,ema9,ema9_diff,ema9_diff%
2009-08-28 16:00:00,1026.59,1039.28,1016.2,1028.93,985.2029543553331,43.72704564466699,4.25
1998-10-30 16:00:00,1070.65,1103.75,1059.65,1098.65,1052.5382983365548,46.111701663445274,4.2
1983-01-07 16:00:00,140.65,146.46,138.08,145.18,139.08376500665338,6.096234993346627,4.2
1998-03-13 16:00:00,1055.69,1075.86,1050.02,1068.61,1023.8201744770217,44.78982552297816,4.19
1983-03-04 16:00:00,149.74,154.16,147.81,153.67,147.22536953209868,6.444630467901305,4.19
1997-02-14 16:00:00,789.56,812.93,780.95,808.45,774.6477761063705,33.8022238936295,4.18
2009-05-01 16:00:00,860.9,888.7,847.53,877.52,840.8843523029985,36.635647697001446,4.17
2003-03-21 16:00:00,833.27,895.9,827.17,895.9,858.5332932540996,37.36670674590039,4.17
1980-02-01 16:00:00,113.61,117.17,112.93,115.12,110.3204836812041,4.799516318795909,4.17
1997-07-11 16:00:00,916.92,923.26,902.48,916.66,878.5518937933282,38.10810620667178,4.16
1975-04-18 16:00:00,84.18,88.79,83.98,86.3,82.71394208502204,3.586057914977957,4.16
1996-11-08 16:00:00,703.77,730.82,702.84,730.82,700.4888754001336,30.331124599866484,4.15
1998-07-17 16:00:00,1164.33,1188.1,1160.21,1186.69,1137.6271301481029,49.062869851897176,4.13
1983-01-14 16:00:00,145.19,148.36,144.58,146.65,140.5970120053227,6.052987994677295,4.13
1998-03-27 16:00:00,1099.16,1113.07,1091.14,1095.44,1050.201711665294,45.23828833470611,4.13
1983-04-15 16:00:00,152.87,158.75,152.87,158.75,152.20400791062252,6.545992089377478,4.12
2009-10-16 16:00:00,1071.63,1096.56,1066.71,1087.68,1042.8979482132197,44.78205178678036,4.12
2020-07-17 16:00:00,3205.08,3238.28,3127.66,3224.73,3091.9374068380735,132.79259316192656,4.12
1986-02-14 16:00:00,214.56,219.75,214.47,219.75,210.71549228743476,9.034507712565244,4.11
1983-04-22 16:00:00,158.75,161.08,158.41,160.42,153.84720632849803,6.572793671501955,4.1
1997-05-16 16:00:00,824.78,842.45,824.78,829.75,795.746781814862,34.00321818513805,4.1
2020-11-13 16:00:00,3583.04,3645.99,3511.91,3585.15,3438.04917898603,147.1008210139703,4.1
1999-07-02 16:00:00,1315.31,1391.22,1315.31,1391.22,1334.1585188436843,57.06148115631572,4.1
1980-06-06 16:00:00,111.24,114.38,109.77,113.2,108.56552024989723,4.63447975010277,4.09
1978-08-11 16:00:00,103.92,105.72,102.6,103.96,99.70910556131506,4.250894438684938,4.09
1975-05-16 16:00:00,90.53,93.51,89.74,90.43,86.74047867802504,3.689521321974965,4.08
2003-05-16 16:00:00,933.41,948.65,929.3,944.3,905.7338173611539,38.566182638846044,4.08
1998-12-04 16:00:00,1192.32,1192.72,1149.6,1176.74,1128.6861175989225,48.053882401077544,4.08
2013-05-17 16:00:00,1632.1,1667.38,1626.74,1666.12,1598.103515838513,68.01648416148691,4.08
1998-03-06 16:00:00,1049.34,1055.64,1030.87,1055.64,1012.6227180962771,43.01728190372296,4.07
1997-06-06 16:00:00,848.28,859.24,838.82,858.01,823.1689922892093,34.84100771079068,4.06
1975-01-10 16:00:00,70.71,73.75,69.04,72.61,69.665240004424,2.9447599955759927,4.06
1978-05-12 16:00:00,96.53,98.89,95.33,98.07,94.08551280397371,3.9844871960262793,4.06
2012-02-03 16:00:00,1316.16,1345.34,1300.49,1344.9,1290.367104142519,54.53289585748098,4.05
2020-08-21 16:00:00,3380.86,3399.96,3354.69,3397.16,3259.604987072701,137.55501292729878,4.05
1975-06-27 16:00:00,92.61,95.72,91.81,94.81,90.97786692257222,3.832133077427784,4.04
1987-06-19 16:00:00,301.62,306.96,301.62,306.96,294.5553582463981,12.40464175360188,4.04
1998-02-13 16:00:00,1012.46,1026.3,1006.28,1020.08,978.9481212817909,41.13187871820912,4.03
1996-11-15 16:00:00,730.82,741.92,728.03,737.63,707.9171003201068,29.712899679893212,4.03
1989-04-21 16:00:00,301.36,309.61,300.7,309.61,297.16121247984273,12.448787520157282,4.02
2003-06-20 16:00:00,988.61,1015.33,988.61,995.69,955.6607356729031,40.02926432709694,4.02
2004-11-12 16:00:00,1166.17,1184.17,1162.32,1184.17,1136.6975201193386,47.47247988066147,4.01
2003-05-09 16:00:00,930.08,939.61,919.72,933.41,896.0922717014423,37.317728298557654,4.0
1992-01-10 16:00:00,419.31,420.5,413.31,415.1,398.4986377256573,16.601362274342705,4.0
1997-05-30 16:00:00,847.03,851.87,831.87,848.28,814.4587403615117,33.8212596384883,3.99
1999-07-16 16:00:00,1403.28,1418.82,1386.54,1418.78,1362.142252059958,56.63774794004189,3.99
2009-04-24 16:00:00,868.27,871.8,826.83,866.23,831.7254403787481,34.50455962125193,3.98
1985-11-15 16:00:00,193.72,199.58,193.69,198.11,190.24195931725095,7.8680406827490685,3.97
1986-03-21 16:00:00,236.55,237.35,233.28,233.33,224.06984771274668,9.260152287253334,3.97
2020-07-10 16:00:00,3155.29,3186.82,3115.7,3185.04,3058.739258547592,126.30074145240815,3.97
1989-07-28 16:00:00,335.9,342.95,332.6,342.14,328.55634982718004,13.583650172819944,3.97
1989-02-03 16:00:00,293.82,298.33,293.54,296.96,285.21203354533134,11.747966454668642,3.96
1980-01-25 16:00:00,111.07,115.27,110.66,113.61,109.12060460150511,4.489395398494892,3.95
1980-09-19 16:00:00,125.54,130.38,124.09,129.25,124.1442489498483,5.105751050151696,3.95
2000-03-17 16:00:00,1395.07,1477.33,1356.99,1464.47,1406.5878397351403,57.88216026485975,3.95
1991-02-01 16:00:00,336.06,344.89,334.26,343.05,329.50349958207005,13.546500417929963,3.95
1990-06-01 16:00:00,354.58,363.52,354.55,363.15,348.79710984015475,14.35289015984523,3.95
1999-07-09 16:00:00,1391.22,1405.32,1384.99,1403.28,1347.9828150749474,55.297184925052534,3.94
1998-11-13 16:00:00,1141.0,1141.0,1115.54,1125.72,1081.3285109353951,44.39148906460491,3.94
1974-11-08 16:00:00,73.8,77.41,71.93,74.91,71.95806836563337,2.9519316343666304,3.94
1980-08-08 16:00:00,121.21,125.23,119.42,123.61,118.74676753939923,4.86323246060077,3.93
2004-01-16 16:00:00,1122.53,1139.82,1115.19,1139.82,1095.0268322165396,44.793167783460376,3.93
2009-09-11 16:00:00,1018.67,1048.18,1018.67,1042.73,1001.6998907874133,41.030109212586694,3.93
1989-01-27 16:00:00,287.85,296.08,284.5,293.82,282.27504193166413,11.544958068335859,3.93
1987-04-03 16:00:00,296.1,301.3,286.68,300.4,288.6751335608733,11.724866439126686,3.9
1992-01-17 16:00:00,415.05,421.17,413.54,418.86,402.57091018052586,16.289089819474157,3.89
2020-11-27 16:00:00,3566.82,3644.31,3552.77,3638.35,3497.2278745510594,141.12212544894055,3.88
1999-11-12 16:00:00,1370.23,1396.07,1360.19,1396.06,1342.2401414422313,53.81985855776861,3.86
1987-08-07 16:00:00,318.62,324.14,314.51,323.0,310.5516005057151,12.4483994942849,3.85
1978-08-18 16:00:00,103.96,106.27,102.86,104.73,100.71328444905205,4.01671555094795,3.84
2001-05-18 16:00:00,1245.67,1296.48,1241.02,1291.95,1242.3185383606499,49.631461639350164,3.84
1987-02-27 16:00:00,285.48,285.5,279.37,284.19,273.3083909938759,10.881609006124108,3.83
1985-11-29 16:00:00,201.52,203.39,200.08,202.16,194.43005396304062,7.729946036959376,3.82
1980-07-04 16:00:00,116.0,117.8,113.54,117.46,112.97906109435793,4.480938905642063,3.81
2021-01-08 16:00:00,3764.61,3826.69,3662.71,3824.68,3679.0559394663137,145.62406053368613,3.81
2000-04-07 16:00:00,1498.58,1526.45,1416.41,1516.35,1458.7447339443918,57.605266055608126,3.8
1985-02-15 16:00:00,182.19,183.94,179.44,181.6,174.69581830486268,6.904181695137311,3.8
1995-06-23 16:00:00,539.83,551.07,539.83,549.71,528.891407495558,20.818592504441995,3.79
2020-07-31 16:00:00,3219.84,3272.17,3204.13,3271.12,3147.564740376368,123.55525962363208,3.78
1987-01-09 16:00:00,246.45,259.19,246.44,258.72,248.92867531717206,9.791324682827963,3.78
1989-06-02 16:00:00,321.59,325.62,317.83,325.52,313.20340776431595,12.316592235684027,3.78
2010-04-23 16:00:00,1192.06,1217.28,1183.68,1217.28,1171.3538514314782,45.92614856852174,3.77
1999-04-23 16:00:00,1319.0,1363.67,1285.04,1356.85,1305.6737538937123,51.176246106287635,3.77
1980-05-23 16:00:00,107.35,111.37,106.51,110.62,106.4486253904644,4.171374609535604,3.77
1976-02-06 16:00:00,100.86,102.57,98.64,99.46,95.72916142549334,3.730838574506649,3.75
1986-05-30 16:00:00,241.35,249.19,241.35,247.35,238.09775321756075,9.252246782439244,3.74
1980-08-22 16:00:00,125.28,127.78,121.91,126.02,121.31713122521552,4.702868774784477,3.73
1984-08-17 16:00:00,164.84,166.09,162.75,164.14,158.02017033790477,6.1198296620952135,3.73
2018-01-12 16:00:00,2742.67,2787.85,2736.06,2786.24,2682.7056593695524,103.53434063044733,3.72
1991-03-15 16:00:00,374.94,378.28,369.55,373.59,359.7299381944422,13.860061805557791,3.71
1982-08-20 16:00:00,103.86,113.02,103.86,113.02,108.82247971257362,4.1975202874263715,3.71
2009-10-09 16:00:00,1026.84,1071.51,1025.92,1071.49,1031.7024352665246,39.78756473347539,3.71
2002-11-22 16:00:00,909.83,937.27,893.09,930.55,896.0209840470892,34.529015952910754,3.71
1996-02-23 16:00:00,647.98,663.0,638.79,659.08,634.7320277037066,24.347972296293392,3.69
2012-01-20 16:00:00,1290.22,1315.49,1290.22,1315.38,1266.837350222686,48.54264977731418,3.69
2011-02-18 16:00:00,1328.73,1344.07,1324.61,1343.01,1293.4602485024543,49.549751497545685,3.69
1979-08-17 16:00:00,106.4,109.18,106.28,108.3,104.31881462313576,3.9811853768642322,3.68
2021-11-05 16:00:00,4610.62,4718.5,4595.06,4697.53,4525.354699990563,172.1753000094368,3.67
1975-06-06 16:00:00,91.32,93.76,91.32,92.48,89.08536508314884,3.3946349168511603,3.67
2012-03-16 16:00:00,1370.78,1405.88,1366.69,1404.17,1353.1028267883366,51.06717321166343,3.64
2021-02-12 16:00:00,3892.59,3937.23,3884.94,3934.83,3791.896138244322,142.93386175567775,3.63
2018-01-19 16:00:00,2798.96,2810.33,2768.64,2810.3,2708.224527495642,102.075472504358,3.63
1987-03-13 16:00:00,290.66,292.51,287.12,289.88,279.3973702360806,10.48262976391942,3.62
2011-02-11 16:00:00,1311.85,1330.79,1311.74,1329.15,1281.0728106280676,48.07718937193249,3.62
2000-03-31 16:00:00,1528.7,1534.63,1474.63,1498.58,1444.3434174304898,54.23658256951012,3.62
1975-04-25 16:00:00,86.3,88.64,85.0,86.62,83.49515366801764,3.1248463319823685,3.61
1978-09-08 16:00:00,103.68,107.19,103.31,106.79,102.93920163791466,3.8507983620853423,3.61
1974-11-01 16:00:00,70.12,75.9,68.89,73.88,71.2200854570417,2.6599145429582904,3.6
2011-01-14 16:00:00,1270.84,1293.24,1262.18,1293.24,1246.8677993849305,46.37220061506946,3.59
1972-11-24 16:00:00,115.49,117.91,114.57,117.27,113.07933492808118,4.190665071918815,3.57
1989-08-04 16:00:00,342.13,347.98,342.02,343.91,331.62707986174405,12.282920138255975,3.57
1989-05-26 16:00:00,321.24,323.06,317.58,321.59,310.12425970539493,11.465740294605041,3.57
1980-06-27 16:00:00,114.06,117.98,113.35,116.0,111.8588263679474,4.141173632052599,3.57
2012-09-14 16:00:00,1437.92,1474.51,1428.98,1465.77,1413.5391193359458,52.23088066405421,3.56
2010-04-09 16:00:00,1178.71,1194.66,1175.12,1194.37,1151.8078928616846,42.56210713831524,3.56
1978-05-05 16:00:00,96.83,98.3,94.57,96.53,93.08939100496713,3.440608995032875,3.56
2012-02-17 16:00:00,1343.06,1363.4,1340.8,1361.23,1312.9033466512126,48.32665334878743,3.55
2004-11-05 16:00:00,1130.26,1170.87,1127.53,1166.17,1124.8294001491731,41.34059985082695,3.54
1988-10-21 16:00:00,275.48,283.65,274.4,283.65,273.596954901598,10.05304509840198,3.54
1999-12-03 16:00:00,1416.62,1447.42,1386.95,1433.3,1382.5621524184226,50.7378475815774,3.54
2019-02-15 16:00:00,2712.4,2775.66,2703.79,2775.6,2677.274656875758,98.32534312424195,3.54
1988-06-10 16:00:00,266.46,273.2,264.5,271.26,261.6822575769596,9.577742423040377,3.53
1987-07-17 16:00:00,308.41,314.59,305.48,314.59,303.47859473772473,11.111405262275241,3.53
1987-07-31 16:00:00,309.3,318.85,308.61,318.65,307.43950063214385,11.21049936785613,3.52
1973-10-12 16:00:00,109.85,112.82,108.02,111.44,107.52458581528884,3.915414184711153,3.51
1987-03-27 16:00:00,298.16,302.71,296.06,296.12,285.7439169510916,10.376083048908413,3.5
1988-03-04 16:00:00,262.46,268.75,262.45,267.3,257.9535973579708,9.346402642029204,3.5
1995-07-07 16:00:00,544.75,556.57,544.43,556.37,536.9245007971572,19.445499202842825,3.5
1996-10-04 16:00:00,686.19,701.74,684.44,701.46,677.0004254154463,24.459574584553707,3.49
1998-12-18 16:00:00,1166.46,1188.88,1136.88,1188.02,1146.5967152633104,41.42328473668954,3.49
1986-04-25 16:00:00,242.38,245.47,240.08,242.28,233.8584460985129,8.421553901487101,3.48
1998-04-17 16:00:00,1110.67,1122.72,1100.6,1122.72,1083.6600763726306,39.05992362736947,3.48
1983-06-17 16:00:00,162.7,169.64,162.7,169.13,163.2477104228978,5.882289577102199,3.48
2020-01-17 16:00:00,3271.13,3329.88,3268.43,3329.62,3214.1814850149663,115.43851498503363,3.47
2010-09-24 16:00:00,1126.57,1148.9,1122.79,1148.67,1108.8682608351583,39.80173916484182,3.47
1988-03-18 16:00:00,264.93,272.63,264.52,271.12,261.7031023091013,9.41689769089868,3.47
1978-04-21 16:00:00,93.6,95.89,92.75,94.34,91.07904844526112,3.260951554738881,3.46
2021-04-23 16:00:00,4179.8,4194.17,4118.38,4180.17,4035.663422827078,144.50657717292188,3.46
1980-07-25 16:00:00,122.04,123.9,119.94,120.78,116.61119928031127,4.168800719688733,3.45
1980-05-30 16:00:00,110.62,112.72,108.87,111.24,107.40690031237153,3.8330996876284615,3.45
2002-11-29 16:00:00,930.55,941.76,912.11,936.31,904.0787872376713,32.231212762328596,3.44
1990-05-11 16:00:00,338.39,352.31,338.11,352.0,339.92513640655227,12.07486359344773,3.43
2011-10-21 16:00:00,1224.47,1239.03,1191.48,1238.25,1195.810783791122,42.43921620887795,3.43
1999-12-24 16:00:00,1421.03,1461.44,1411.1,1458.34,1408.2889420382326,50.051057961767356,3.43
2010-10-15 16:00:00,1165.32,1184.38,1155.71,1176.19,1136.121269547601,40.068730452398995,3.41
1997-06-27 16:00:00,898.7,902.09,878.43,887.29,857.0510840520752,30.23891594792474,3.41
