"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg"
12/06/1974,16:00,69.80,69.80,64.40,65.01,65731,0,65731.00,0.00
12/13/1974,16:00,65.01,69.03,64.13,67.07,75442,0,75442.00,0.00
12/20/1974,16:00,67.07,69.01,65.86,66.91,82033,0,82033.00,0.00
12/27/1974,16:00,66.91,68.19,65.34,67.14,52448,0,52448.00,0.00
01/03/1975,16:00,67.14,71.64,66.23,70.71,69555,0,69555.00,0.00
01/10/1975,16:00,70.71,73.75,69.04,72.61,90256,0,90256.00,0.00
01/17/1975,16:00,72.61,73.81,70.45,70.96,84343,0,84343.00,0.00
01/24/1975,16:00,70.96,73.57,69.80,72.98,82178,0,82178.00,0.00
01/31/1975,16:00,73.76,78.69,73.76,76.98,145689,0,145689.00,0.00
02/07/1975,16:00,76.98,80.72,76.00,78.63,127359,0,127359.00,0.00
02/14/1975,16:00,78.63,82.53,77.38,81.50,110833,0,110833.00,0.00
02/21/1975,16:00,81.50,83.56,79.83,82.62,92886,0,92886.00,0.00
02/28/1975,16:00,82.62,82.71,78.91,81.59,92662,0,92662.00,0.00
03/07/1975,16:00,81.59,85.43,81.32,84.30,130071,0,130071.00,0.00
03/14/1975,16:00,84.30,85.89,82.52,84.76,122194,0,122194.00,0.00
03/21/1975,16:00,84.76,87.08,82.52,83.39,111878,0,111878.00,0.00
03/28/1975,16:00,82.39,84.88,80.08,83.85,73190,0,73190.00,0.00
04/04/1975,16:00,83.85,84.62,80.29,80.88,74402,0,74402.00,0.00
04/11/1975,16:00,80.88,84.70,79.66,84.18,91455,0,91455.00,0.00
04/18/1975,16:00,84.18,88.79,83.98,86.30,134655,0,134655.00,0.00
04/25/1975,16:00,86.30,88.64,85.00,86.62,109429,0,109429.00,0.00
05/02/1975,16:00,86.62,89.98,85.00,89.22,99518,0,99518.00,0.00
05/09/1975,16:00,89.22,91.24,87.60,90.53,121468,0,121468.00,0.00
05/16/1975,16:00,90.53,93.51,89.74,90.43,120726,0,120726.00,0.00
05/23/1975,16:00,90.43,91.45,88.35,90.58,89304,0,89304.00,0.00
05/30/1975,16:00,90.58,91.62,88.83,91.15,80147,0,80147.00,0.00
06/06/1975,16:00,91.32,93.76,91.32,92.48,123501,0,123501.00,0.00
06/13/1975,16:00,92.48,92.87,89.30,90.52,92287,0,92287.00,0.00
06/20/1975,16:00,90.52,93.75,89.60,92.61,99409,0,99409.00,0.00
06/27/1975,16:00,92.61,95.72,91.81,94.81,112336,0,112336.00,0.00
07/04/1975,16:00,94.81,95.85,93.37,94.35,77352,0,77352.00,0.00
07/11/1975,16:00,94.36,96.19,92.51,94.66,112274,0,112274.00,0.00
07/18/1975,16:00,94.66,96.58,92.39,93.20,113786,0,113786.00,0.00
07/25/1975,16:00,93.20,93.93,88.72,89.29,93159,0,93159.00,0.00
08/01/1975,16:00,89.29,90.07,87.46,87.99,77860,0,77860.00,0.00
08/08/1975,16:00,87.99,88.17,85.34,86.02,68372,0,68372.00,0.00
08/15/1975,16:00,86.02,88.17,85.02,86.36,61931,0,61931.00,0.00
08/22/1975,16:00,86.36,87.21,82.21,84.28,74091,0,74091.00,0.00
08/29/1975,16:00,84.28,87.73,83.35,86.88,63721,0,63721.00,0.00
09/05/1975,16:00,86.88,87.42,84.62,85.62,48207,0,48207.00,0.00
09/12/1975,16:00,85.62,86.73,82.84,83.30,65394,0,65394.00,0.00
09/19/1975,16:00,83.30,86.39,81.57,85.88,69336,0,69336.00,0.00
09/26/1975,16:00,85.88,86.86,83.80,86.19,69070,0,69070.00,0.00
10/03/1975,16:00,86.19,86.38,82.57,85.95,67824,0,67824.00,0.00
10/10/1975,16:00,85.98,89.42,85.56,88.21,79469,0,79469.00,0.00
10/17/1975,16:00,88.21,90.80,87.73,88.86,80976,0,80976.00,0.00
10/24/1975,16:00,88.86,91.75,88.43,89.83,86106,0,86106.00,0.00
10/31/1975,16:00,89.83,91.01,88.35,89.04,74271,0,74271.00,0.00
11/07/1975,16:00,89.04,90.18,87.63,89.33,74899,0,74899.00,0.00
11/14/1975,16:00,89.33,92.33,88.35,90.97,95062,0,95062.00,0.00
11/21/1975,16:00,90.97,92.30,88.79,89.53,85820,0,85820.00,0.00
11/28/1975,16:00,89.53,91.74,88.65,91.24,63076,0,63076.00,0.00
12/05/1975,16:00,91.24,91.90,86.54,86.82,85731,0,85731.00,0.00
12/12/1975,16:00,86.82,88.79,86.15,87.83,74267,0,74267.00,0.00
12/19/1975,16:00,87.83,90.09,87.32,88.80,84626,0,84626.00,0.00
12/26/1975,16:00,88.80,90.45,87.64,90.25,54254,0,54254.00,0.00
01/02/1976,16:00,90.25,91.18,89.17,90.90,60378,0,60378.00,0.00
01/09/1976,16:00,90.90,95.71,90.85,94.95,141947,0,141947.00,0.00
01/16/1976,16:00,94.95,98.34,94.38,97.00,159706,0,159706.00,0.00
01/23/1976,16:00,97.00,99.88,96.36,99.21,161667,0,161667.00,0.00
01/30/1976,16:00,99.21,101.99,97.66,100.86,162230,0,162230.00,0.00
02/06/1976,16:00,100.86,102.57,98.64,99.46,157490,0,157490.00,0.00
02/13/1976,16:00,99.46,101.80,98.77,99.67,137787,0,137787.00,0.00
02/20/1976,16:00,99.67,103.07,98.50,102.10,139071,0,139071.00,0.00
02/27/1976,16:00,102.10,102.92,98.60,99.71,161787,0,161787.00,0.00
03/05/1976,16:00,99.71,101.26,98.23,99.11,120543,0,120543.00,0.00
03/12/1976,16:00,99.11,102.46,98.93,100.86,136048,0,136048.00,0.00
03/19/1976,16:00,100.86,102.01,99.24,100.58,106952,0,106952.00,0.00
03/26/1976,16:00,100.58,104.39,100.14,102.85,115479,0,115479.00,0.00
04/02/1976,16:00,102.85,103.36,101.23,102.25,86881,0,86881.00,0.00
04/09/1976,16:00,102.32,104.63,99.87,100.35,106227,0,106227.00,0.00
04/16/1976,16:00,100.35,101.77,99.57,100.67,65554,0,65554.00,0.00
04/23/1976,16:00,100.67,104.04,100.32,102.29,103785,0,103785.00,0.00
04/30/1976,16:00,102.29,103.18,100.91,101.64,81349,0,81349.00,0.00
05/07/1976,16:00,101.64,102.27,100.14,101.88,81396,0,81396.00,0.00
05/14/1976,16:00,101.88,103.99,100.82,101.34,98383,0,98383.00,0.00
05/21/1976,16:00,101.34,102.53,100.41,101.26,91858,0,91858.00,0.00
05/28/1976,16:00,101.07,101.07,98.26,100.18,84247,0,84247.00,0.00
06/04/1976,16:00,100.18,101.10,98.79,99.15,64851,0,64851.00,0.00
06/11/1976,16:00,99.15,101.22,97.97,100.92,81312,0,81312.00,0.00
06/18/1976,16:00,101.00,104.80,100.84,103.76,114821,0,114821.00,0.00
06/25/1976,16:00,103.76,104.82,102.40,103.72,95276,0,95276.00,0.00
07/02/1976,16:00,103.72,105.07,102.95,104.11,98807,0,98807.00,0.00
07/09/1976,16:00,104.11,105.41,102.80,104.98,79812,0,79812.00,0.00
07/16/1976,16:00,104.98,106.78,103.87,104.68,115996,0,115996.00,0.00
07/23/1976,16:00,104.68,105.32,103.05,104.06,86828,0,86828.00,0.00
07/30/1976,16:00,104.06,104.69,102.31,103.44,73285,0,73285.00,0.00
08/06/1976,16:00,103.44,105.18,102.64,103.79,82475,0,82475.00,0.00
08/13/1976,16:00,103.79,105.24,103.01,104.25,76581,0,76581.00,0.00
08/20/1976,16:00,104.25,105.41,101.96,102.37,84001,0,84001.00,0.00
08/27/1976,16:00,102.37,102.65,100.43,101.48,76978,0,76978.00,0.00
09/03/1976,16:00,101.48,104.84,101.22,104.30,77462,0,77462.00,0.00
09/10/1976,16:00,104.30,105.73,103.79,104.65,69552,0,69552.00,0.00
